type,ID,nodeTimestamp,bsTimestamp,syncTimestamp,systemTime,accelX,accelY,accelZ,cannula
6,2,707825,68396724,85166700,1322676595,nan,nan,nan,32170
5,4,10298226,68397609,85208713,1322676595,-3660,-688,16328,nan
5,3,5114334,68398989,85169574,1322676595,-10392,2564,12596,nan
6,2,710541,68399439,85169415,1322676595,nan,nan,nan,32173
5,4,10300905,68400287,85211392,1322676595,-3668,-708,16424,nan
5,3,5117026,68401682,85172267,1322676595,-10368,2500,12572,nan
6,2,713257,68402156,85172131,1322676595,nan,nan,nan,32171
5,4,10303584,68402968,85214071,1322676595,-3620,-716,16324,nan
5,3,5119719,68404374,85174959,1322676595,-10464,2528,12680,nan
6,2,715972,68404871,85174847,1322676595,nan,nan,nan,32172
5,4,10306263,68405645,85216750,1322676595,-3668,-712,16416,nan
5,3,5122411,68407069,85177652,1322676595,-10396,2544,12616,nan
6,2,718688,68407585,85177562,1322676595,nan,nan,nan,32172
5,4,10308943,68408326,85219429,1322676595,-3636,-684,16328,nan
5,3,5125104,68409759,85180344,1322676595,-10416,2512,12644,nan
6,2,721404,68410300,85180278,1322676595,nan,nan,nan,32170
5,4,10311622,68411005,85222109,1322676595,-3640,-692,16392,nan
6,2,724119,68413016,85182994,1322676595,nan,nan,nan,32170
5,4,10314301,68413684,85224788,1322676595,-3652,-712,16348,nan
6,2,726835,68415733,85185709,1322676595,nan,nan,nan,32171
5,4,10316980,68416362,85227467,1322676595,-3668,-692,16372,nan
6,2,729551,68418448,85188425,1322676596,nan,nan,nan,32168
5,4,10319659,68419042,85230146,1322676596,-3652,-688,16348,nan
6,2,732266,68421168,85191141,1322676596,nan,nan,nan,32173
5,4,10322338,68421895,85232825,1322676596,-3664,-692,16364,nan
6,2,734982,68423879,85193856,1322676596,nan,nan,nan,32169
5,4,10325017,68424401,85235504,1322676596,-3656,-700,16348,nan
6,2,737697,68426598,85196572,1322676596,nan,nan,nan,32168
5,4,10327697,68427080,85238183,1322676596,-3648,-700,16376,nan
6,2,740413,68429312,85199287,1322676596,nan,nan,nan,32170
5,4,10330376,68429760,85240863,1322676596,-3608,-728,16336,nan
6,2,743129,68432030,85202003,1322676596,nan,nan,nan,32171
5,4,10333055,68432439,85243542,1322676596,-3652,-724,16412,nan
5,3,5149156,68433813,85183037,1322676596,-10432,2504,12624,nan
6,2,745844,68434743,85204719,1322676596,nan,nan,nan,32170
5,4,10335734,68435118,85246221,1322676596,-3636,-704,16328,nan
5,3,5151947,68436604,85207089,1322676596,-10428,2468,12644,nan
6,2,748560,68437459,85207434,1322676596,nan,nan,nan,32171
5,4,10338413,68437798,85248900,1322676596,-3640,-696,16392,nan
5,3,5154639,68439299,85209880,1322676596,-10420,2432,12572,nan
6,2,751275,68440176,85210150,1322676596,nan,nan,nan,32170
5,4,10341092,68440476,85251579,1322676596,-3640,-724,16344,nan
5,3,5157331,68441989,85212572,1322676596,-10424,2432,12576,nan
6,2,753991,68442891,85212865,1322676596,nan,nan,nan,32172
5,4,10343771,68443156,85254258,1322676596,-3668,-700,16344,nan
5,3,5160024,68444681,85215264,1322676596,-10408,2432,12600,nan
6,2,756707,68445607,85215581,1322676596,nan,nan,nan,32175
5,4,10346451,68445864,85256937,1322676596,-3660,-708,16364,nan
5,3,5162716,68447376,85217957,1322676596,-10440,2456,12600,nan
6,2,759422,68448323,85218297,1322676596,nan,nan,nan,32176
5,4,10349130,68449052,85259617,1322676596,-3652,-704,16352,nan
5,3,5165409,68450067,85220649,1322676597,-10424,2456,12552,nan
6,2,762138,68451038,85221012,1322676597,nan,nan,nan,32173
5,4,10351809,68451226,85262296,1322676597,-3644,-696,16340,nan
5,3,5168101,68452760,85223342,1322676597,-10416,2440,12580,nan
6,2,764854,68453755,85223728,1322676597,nan,nan,nan,32171
5,4,10354488,68453943,85264975,1322676597,-3652,-732,16388,nan
5,3,5170794,68455452,85226034,1322676597,-10436,2412,12588,nan
6,2,767569,68456471,85226444,1322676597,nan,nan,nan,32170
5,4,10357167,68456730,85267654,1322676597,-3612,-732,16344,nan
5,3,5173486,68458144,85228727,1322676597,-10468,2440,12672,nan
6,2,770285,68459187,85229159,1322676597,nan,nan,nan,32171
5,4,10359846,68459375,85270333,1322676597,-3648,-740,16424,nan
5,3,5176179,68460838,85231419,1322676597,-10420,2444,12564,nan
6,2,773000,68461901,85231875,1322676597,nan,nan,nan,32171
5,4,10362525,68462089,85273012,1322676597,-3628,-720,16316,nan
5,3,5178871,68463530,85234112,1322676597,-10464,2420,12668,nan
5,4,10365204,68464591,85275691,1322676597,-3652,-724,16388,nan
6,2,775716,68464779,85234590,1322676597,nan,nan,nan,32172
5,3,5181563,68466222,85236804,1322676597,-10416,2400,12568,nan
5,4,10367884,68467270,85278370,1322676597,-3644,-736,16340,nan
6,2,778432,68467531,85237306,1322676597,nan,nan,nan,32169
5,3,5184256,68468916,85239496,1322676597,-10432,2416,12568,nan
5,4,10370563,68469948,85281050,1322676597,-3672,-720,16356,nan
6,2,781147,68470138,85240022,1322676597,nan,nan,nan,32170
5,3,5186948,68471608,85242189,1322676597,-10472,2416,12588,nan
5,4,10373242,68472628,85283729,1322676597,-3664,-728,16360,nan
6,2,783863,68472817,85242737,1322676597,nan,nan,nan,32172
5,3,5189641,68474301,85244881,1322676597,-10440,2400,12616,nan
5,4,10375921,68475309,85286408,1322676597,-3668,-720,16352,nan
6,2,786578,68475498,85245453,1322676597,nan,nan,nan,32172
5,3,5192333,68476993,85247574,1322676597,-10456,2416,12572,nan
5,4,10378600,68477987,85289087,1322676597,-3672,-728,16340,nan
6,2,789294,68478249,85248168,1322676597,nan,nan,nan,32168
5,3,5195026,68479685,85250266,1322676597,-10424,2404,12576,nan
5,4,10381279,68480666,85291766,1322676597,-3672,-740,16376,nan
6,2,792010,68480911,85250884,1322676597,nan,nan,nan,32169
5,3,5197718,68482383,85252959,1322676598,-10428,2356,12540,nan
5,4,10383958,68483345,85294445,1322676598,-3616,-752,16332,nan
6,2,794725,68483627,85253600,1322676598,nan,nan,nan,32170
5,3,5200410,68485070,85255651,1322676598,-10464,2392,12664,nan
5,4,10386637,68486024,85297124,1322676598,-3676,-760,16404,nan
6,2,797441,68486343,85256315,1322676598,nan,nan,nan,32168
5,3,5203103,68487763,85258343,1322676598,-10404,2416,12584,nan
5,4,10389316,68488704,85299803,1322676598,-3652,-728,16332,nan
6,2,800157,68489058,85259031,1322676598,nan,nan,nan,32171
5,3,5205795,68490455,85261036,1322676598,-10452,2356,12664,nan
5,4,10391995,68491384,85302482,1322676598,-3652,-732,16372,nan
6,2,802872,68491774,85261747,1322676598,nan,nan,nan,32170
5,4,10394674,68494061,85305161,1322676598,-3664,-756,16344,nan
6,2,805588,68494491,85264462,1322676598,nan,nan,nan,32170
5,4,10397354,68496741,85307840,1322676598,-3680,-732,16356,nan
6,2,808303,68497207,85267178,1322676598,nan,nan,nan,32171
5,4,10400033,68499420,85310520,1322676598,-3664,-732,16352,nan
6,2,811019,68499922,85269893,1322676598,nan,nan,nan,32172
5,4,10402712,68502100,85313199,1322676598,-3672,-736,16348,nan
6,2,813734,68502637,85272609,1322676598,nan,nan,nan,32170
5,4,10405391,68504779,85315878,1322676598,-3692,-736,16356,nan
6,2,816450,68505354,85275324,1322676598,nan,nan,nan,32172
5,4,10408070,68507459,85318557,1322676598,-3676,-764,16380,nan
6,2,819166,68508071,85278040,1322676598,nan,nan,nan,32170
5,4,10410749,68510138,85321236,1322676598,-3692,-728,16284,nan
6,2,821881,68510785,85280756,1322676598,nan,nan,nan,32169
5,4,10413428,68512817,85323915,1322676598,-3644,-780,16368,nan
6,2,824597,68513503,85283471,1322676598,nan,nan,nan,32170
5,3,5229847,68514508,85263728,1322676598,-10464,2352,12596,nan
5,4,10416107,68515496,85326594,1322676599,-3648,-772,16376,nan
6,2,827312,68516218,85286187,1322676599,nan,nan,nan,32169
5,3,5232637,68517299,85287780,1322676599,-10460,2400,12600,nan
5,4,10418787,68518179,85329273,1322676599,-3668,-752,16376,nan
6,2,830028,68518932,85288902,1322676599,nan,nan,nan,32168
5,3,5235329,68519992,85290570,1322676599,-10452,2340,12624,nan
5,4,10421466,68520855,85331953,1322676599,-3664,-740,16352,nan
6,2,832744,68521649,85291618,1322676599,nan,nan,nan,32170
5,3,5238022,68522683,85293262,1322676599,-10436,2348,12580,nan
5,4,10424145,68523537,85334632,1322676599,-3664,-756,16324,nan
6,2,835459,68524364,85294334,1322676599,nan,nan,nan,32168
5,3,5240714,68525377,85295955,1322676599,-10448,2348,12572,nan
5,4,10426824,68526214,85337311,1322676599,-3680,-748,16372,nan
6,2,838175,68527081,85297049,1322676599,nan,nan,nan,32169
5,3,5243406,68528069,85298647,1322676599,-10444,2356,12628,nan
5,4,10429503,68528894,85339990,1322676599,-3672,-744,16360,nan
6,2,840890,68529798,85299765,1322676599,nan,nan,nan,32171
5,3,5246099,68530762,85301339,1322676599,-10440,2340,12592,nan
5,4,10432182,68531575,85342669,1322676599,-3664,-732,16332,nan
6,2,843606,68532513,85302480,1322676599,nan,nan,nan,32170
5,3,5248791,68533454,85304032,1322676599,-10460,2340,12612,nan
5,4,10434861,68534251,85345348,1322676599,-3684,-736,16364,nan
6,2,846322,68535226,85305196,1322676599,nan,nan,nan,32169
5,3,5251484,68536148,85306724,1322676599,-10452,2372,12576,nan
5,4,10437541,68536931,85348027,1322676599,-3676,-760,16356,nan
6,2,849037,68537944,85307912,1322676599,nan,nan,nan,32168
5,3,5254176,68538840,85309417,1322676599,-10428,2376,12572,nan
5,4,10440220,68539609,85350707,1322676599,-3672,-748,16328,nan
6,2,851753,68540659,85310627,1322676599,nan,nan,nan,32169
5,3,5256869,68541532,85312109,1322676599,-10440,2356,12584,nan
5,4,10442899,68542291,85353386,1322676599,-3616,-768,16340,nan
6,2,854468,68543374,85313343,1322676599,nan,nan,nan,32171
5,3,5259562,68544225,85314802,1322676599,-10432,2400,12648,nan
5,4,10445578,68544969,85356065,1322676599,-3620,-764,16336,nan
6,2,857184,68546091,85316058,1322676599,nan,nan,nan,32170
5,3,5262255,68546918,85317495,1322676599,-10344,2496,12612,nan
5,4,10448257,68547647,85358744,1322676600,-3608,-752,16308,nan
6,2,859900,68548806,85318774,1322676600,nan,nan,nan,32159
5,3,5264947,68549613,85320188,1322676600,-10304,2660,12724,nan
5,4,10450936,68550327,85361423,1322676600,-3580,-740,16428,nan
